33.05978898007034, 499.2028135990621
35.04337631887456, 386.13833528722154
64.13599062133646, 499.2028135990621
65.45838218053927, 483.33411488862833
95.21219226260257, 499.2028135990621
94.55099648300117, 475.3997655334115
128.93317702227432, 468.78780773739743
154.7198124267292, 461.51465416178195
182.49003516998826, 454.24150058616647
213.56623681125438, 450.274325908558
245.3036342321219, 448.2907385697538
269.76787807737395, 444.32356389214533
306.7948417350527, 438.3728018757327
331.9202813599062, 430.4384525205158
366.96365767878075, 429.116060961313
395.39507620164125, 440.35638921453693
427.13247362250877, 458.2086752637749
458.2086752637749, 475.3997655334115
489.284876905041, 488.6236811254396
